age,gender,education,"Extraverted, enthusiastic","Critical, quarrelsome","Dependable, self-disciplined","Anxious, easily upset",Open to new experiences,"Reserved, quiet","Sympathetic, warm","Disorganized, careless","Calm, emotionally stable","Conventional, uncreative",das1,das2,das3,das4,das5,das6,das7,das8,das9,das10,das11,das12,das13,das14,das15,das16,das17,das18,das19,das20,das21,das22,das23,das24,das25,das26,das27,das28,das29,das30,das31,das32,das33,das34,das35,repetition-1,repetition-2,repetition-3,main-argument-context-positive-framing-topic1,main-argument-context-positive-framing-topic2,main-argument-context-positive-framing-topic3,social-proof-1,social-proof-2,social-proof-3,flattery-1,flattery-2,flattery-3,rheto-question-1,rheto-question-2,rheto-question-3,antanagoge-1,antanagoge-2,antanagogue-3,logic-1,logic-2,logic-3,authority-1,authority-2,authority-3,pathos-1,pathos-2,pathos-3,anaphora-1,anaphora-2,anaphora-3
Under 26,Man,High school degree or equivalent (e.g. GED),Disagree Moderately,Disagree a Little,Agree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,Agree Moderately,Disagree Strongly,Agree Moderately,Disagree Moderately,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Neutral,Agree Strongly,Disagree Slightly,Disagree Very Much,Agree Strongly,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,10,9,10,1,10,6,10,8,7,3,7,10,8,10,8,4,9,10,5,10,8,6,3,10,1,10,8,7,10,10
26- 35,Man,"Some college, no degree",Disagree a Little,Neither Agree nor Disagree,Agree a Little,Agree Moderately,Agree Moderately,Agree Strongly,Agree Moderately,Agree a Little,Neither Agree nor Disagree,Disagree a Little,Agree Slightly,Disagree Very Much,Agree Slightly,Neutral,Disagree Very Much,Disagree Very Much,Agree Slightly,Neutral,Disagree Very Much,Agree Slightly,Neutral,Disagree Slightly,Agree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Agree Slightly,Agree Strongly,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Disagree Slightly,Neutral,Agree Slightly,Agree Strongly,Agree Slightly,Agree Strongly,Disagree Very Much,Agree Slightly,Agree Strongly,Disagree Slightly,Agree Strongly,Agree Slightly,2,7,7,10,10,10,2,9,4,4,7,6,7,6,4,4,3,7,5,7,4,4,7,8,8,9,6,6,7,6
Under 26,Woman,"Bachelor's degree (e.g. BA, BS)",Agree Moderately,Agree a Little,Agree Moderately,Agree Strongly,Agree a Little,Disagree a Little,Agree Moderately,Disagree Moderately,Neither Agree nor Disagree,Disagree a Little,Agree Slightly,Disagree Very Much,Neutral,Neutral,Disagree Very Much,Neutral,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Neutral,Neutral,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Agree Slightly,Disagree Very Much,Neutral,Disagree Slightly,Disagree Slightly,Disagree Very Much,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,3,8,5,2,8,6,1,3,4,6,7,9,2,5,5,3,3,3,1,6,3,2,8,5,2,6,5,4,8,6
Under 26,Woman,"Bachelor's degree (e.g. BA, BS)",Agree a Little,Disagree Moderately,Agree Moderately,Disagree a Little,Agree Strongly,Agree Moderately,Agree Strongly,Disagree Strongly,Agree Moderately,Disagree Moderately,Disagree Slightly,Disagree Very Much,Disagree Slightly,Neutral,Disagree Very Much,Agree Slightly,Agree Slightly,Neutral,Disagree Very Much,Agree Slightly,Neutral,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Slightly,Agree Slightly,Neutral,Agree Strongly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Agree Strongly,Agree Strongly,Agree Strongly,Agree Slightly,Disagree Very Much,3,2,1,10,10,9,9,9,8,9,10,10,5,5,5,8,10,8,10,10,5,10,10,7,10,8,8,5,8,9
Under 26,Woman,"Bachelor's degree (e.g. BA, BS)",Agree Moderately,Disagree Strongly,Disagree a Little,Agree Moderately,Agree Strongly,Neither Agree nor Disagree,Agree Moderately,Neither Agree nor Disagree,Disagree a Little,Disagree Moderately,Agree Slightly,Disagree Very Much,Agree Slightly,Neutral,Neutral,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,Neutral,Disagree Slightly,Neutral,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Neutral,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,8,8,5,8,10,10,3,10,10,5,10,10,6,6,5,3,2,4,4,5,7,6,8,7,5,10,7,6,7,6
26- 35,Woman,"Bachelor's degree (e.g. BA, BS)",Agree a Little,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Moderately,Disagree Strongly,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Slightly,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,1,2,1,3,10,6,2,5,5,2,2,2,2,1,2,2,7,5,3,9,2,7,8,6,7,3,7,1,8,7
46 - 55,Woman,"Doctorate or professional degree (e.g. MD, DDS, PhD)",Disagree Strongly,Disagree Moderately,Agree Moderately,Disagree Strongly,Agree a Little,Agree a Little,Disagree a Little,Disagree Strongly,Agree Strongly,Agree Moderately,Agree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Neutral,Disagree Very Much,Agree Slightly,Agree Slightly,Disagree Slightly,Neutral,Agree Slightly,Neutral,Neutral,Neutral,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,7,4,6,7,10,5,8,2,4,6,6,3,3,4,2,7,5,2,7,8,7,8,8,8,7,6,5,7,7,6
Under 26,Woman,"Bachelor's degree (e.g. BA, BS)",Disagree Moderately,Disagree a Little,Agree Strongly,Agree Moderately,Agree Moderately,Agree Strongly,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Strongly,Agree Strongly,Disagree Slightly,Disagree Very Much,Agree Slightly,Agree Strongly,Agree Strongly,Agree Slightly,Disagree Very Much,10,10,10,10,10,9,2,9,5,4,10,10,7,8,9,10,8,10,9,6,10,7,8,8,7,10,10,7,10,10
Under 26,Man,High school degree or equivalent (e.g. GED),Agree Strongly,Agree Strongly,Agree Moderately,Disagree a Little,Agree Strongly,Agree Moderately,Agree Strongly,Disagree Strongly,Agree Moderately,Disagree Moderately,Agree Strongly,Neutral,Disagree Very Much,Agree Strongly,Neutral,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Neutral,Agree Slightly,Neutral,Agree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Neutral,Agree Strongly,Agree Slightly,Agree Strongly,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,Neutral,Agree Slightly,Agree Slightly,Disagree Slightly,7,10,10,7,10,10,10,10,9,9,10,10,9,10,8,8,10,10,9,8,9,8,9,10,7,8,9,9,8,9
26- 35,Man,"Bachelor's degree (e.g. BA, BS)",Disagree Moderately,Agree a Little,Agree Moderately,Agree a Little,Neither Agree nor Disagree,Agree Strongly,Agree a Little,Disagree Strongly,Agree Moderately,Disagree Moderately,Agree Slightly,Disagree Very Much,Disagree Very Much,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Neutral,Neutral,Neutral,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Neutral,Neutral,Agree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Agree Strongly,Neutral,Agree Slightly,Disagree Slightly,5,10,7,5,10,7,6,10,7,9,10,10,7,10,7,4,8,8,5,9,8,6,8,8,5,10,8,6,8,7
26- 35,Man,"Bachelor's degree (e.g. BA, BS)",Agree Moderately,Agree a Little,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Strongly,Disagree Strongly,Agree Moderately,Neither Agree nor Disagree,Neutral,Agree Slightly,Disagree Very Much,Agree Strongly,Neutral,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Agree Slightly,Agree Strongly,Agree Strongly,Neutral,Disagree Very Much,Disagree Very Much,Agree Slightly,Neutral,Agree Strongly,Neutral,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Neutral,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Neutral,Disagree Very Much,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Neutral,10,10,10,7,10,10,7,10,10,7,10,10,10,10,10,10,10,10,10,10,10,8,10,10,9,10,9,10,10,10
Under 26,Woman,"Some college, no degree",Agree Moderately,Disagree Moderately,Agree Strongly,Agree Moderately,Agree Moderately,Disagree Moderately,Agree Strongly,Disagree Strongly,Agree Moderately,Agree Strongly,Agree Slightly,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Strongly,Disagree Very Much,Agree Slightly,Agree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Slightly,10,10,10,9,9,10,10,8,8,10,10,10,10,10,10,3,10,10,8,9,10,7,9,9,9,10,10,10,9,10
Under 26,Woman,"Some college, no degree",Agree Strongly,Neither Agree nor Disagree,Agree Moderately,Disagree a Little,Agree Moderately,Disagree Strongly,Agree Strongly,Disagree Moderately,Disagree a Little,Disagree Strongly,Disagree Slightly,Disagree Very Much,Agree Slightly,Agree Slightly,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Slightly,Disagree Very Much,Agree Strongly,Disagree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Strongly,Disagree Very Much,Disagree Slightly,Agree Slightly,Agree Strongly,Agree Strongly,Agree Slightly,Disagree Very Much,2,8,2,2,8,4,1,9,5,5,10,8,2,9,6,2,7,6,6,10,3,3,8,6,4,4,4,2,10,3
Under 26,Man,"Some college, no degree",Neither Agree nor Disagree,Disagree Moderately,Disagree a Little,Agree a Little,Agree Strongly,Agree a Little,Agree Strongly,Neither Agree nor Disagree,Agree a Little,Neither Agree nor Disagree,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Neutral,Agree Slightly,Disagree Very Much,Agree Slightly,Neutral,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Disagree Very Much,Disagree Slightly,Agree Strongly,Disagree Very Much,Agree Slightly,Neutral,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Neutral,Neutral,Disagree Slightly,Neutral,Agree Slightly,Neutral,Disagree Very Much,Disagree Slightly,Neutral,4,7,4,10,10,10,4,6,6,10,6,5,4,3,2,3,8,4,9,3,6,5,5,5,3,6,5,8,3,7
26- 35,Non-binary or Gender diverse,"Bachelor's degree (e.g. BA, BS)",Disagree Moderately,Agree a Little,Agree Moderately,Agree a Little,Agree Moderately,Agree Moderately,Disagree Moderately,Disagree Moderately,Agree Moderately,Agree Moderately,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Slightly,Neutral,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Strongly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Neutral,Neutral,Agree Slightly,Agree Slightly,9,10,7,7,10,8,2,8,7,3,8,9,3,6,9,4,6,5,4,5,3,3,9,8,7,9,6,2,5,8
Under 26,Non-binary or Gender diverse,"Master's degree (e.g. MA, MS, MEd)",Agree Moderately,Agree Strongly,Agree Strongly,Agree a Little,Agree Moderately,Agree a Little,Agree Moderately,Disagree Moderately,Agree a Little,Disagree Strongly,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Disagree Very Much,Agree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Strongly,Agree Strongly,Agree Slightly,Neutral,Agree Slightly,Disagree Slightly,Disagree Very Much,Agree Slightly,Disagree Slightly,Agree Strongly,Agree Slightly,Disagree Slightly,Neutral,Agree Slightly,Agree Slightly,Agree Strongly,Agree Strongly,Agree Slightly,Disagree Slightly,Neutral,Agree Strongly,Agree Strongly,Agree Slightly,Disagree Slightly,Agree Slightly,3,10,3,8,10,8,7,9,10,9,10,10,7,5,6,8,6,3,7,8,7,9,10,9,6,8,7,5,6,6
36 - 45,Woman,"Bachelor's degree (e.g. BA, BS)",Agree a Little,Agree Moderately,Agree Strongly,Agree a Little,Agree Strongly,Disagree Strongly,Agree Moderately,Disagree Strongly,Agree Moderately,Disagree Moderately,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Agree Slightly,Disagree Very Much,Disagree Slightly,Disagree Slightly,Disagree Slightly,Agree Slightly,Disagree Slightly,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Agree Strongly,Disagree Very Much,Agree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,Disagree Slightly,2,8,7,8,10,10,4,10,7,7,10,10,6,10,7,6,4,5,3,7,6,7,6,7,6,10,7,5,5,6
46 - 55,Man,"Some college, no degree",Agree a Little,Agree Moderately,Agree Moderately,Agree Strongly,Agree a Little,Neither Agree nor Disagree,Agree a Little,Agree a Little,Neither Agree nor Disagree,Disagree Moderately,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Neutral,Agree Slightly,Agree Slightly,Neutral,Agree Strongly,Agree Slightly,Agree Strongly,Agree Slightly,Agree Strongly,Agree Strongly,Disagree Slightly,Disagree Very Much,Agree Slightly,Agree Slightly,Neutral,Disagree Slightly,Agree Slightly,Agree Slightly,Disagree Slightly,Neutral,Agree Slightly,Disagree Slightly,Agree Slightly,Agree Slightly,Agree Strongly,Agree Slightly,Agree Strongly,Agree Strongly,Neutral,Disagree Very Much,5,8,5,5,9,7,3,10,8,3,7,5,1,8,8,6,8,6,5,7,7,6,8,9,6,8,7,6,8,8
26- 35,Woman,High school degree or equivalent (e.g. GED),Agree a Little,Agree a Little,Disagree a Little,Agree Moderately,Agree a Little,Agree a Little,Agree a Little,Neither Agree nor Disagree,Agree a Little,Agree a Little,Agree Slightly,Disagree Very Much,Disagree Very Much,Neutral,Disagree Very Much,Disagree Slightly,Neutral,Disagree Slightly,Disagree Very Much,Neutral,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Very Much,Disagree Slightly,Disagree Very Much,Disagree Slightly,Neutral,Disagree Slightly,Agree Slightly,Disagree Slightly,Agree Slightly,Neutral,Agree Slightly,Disagree Very Much,Disagree Slightly,Neutral,Disagree Slightly,Disagree Very Much,Agree Strongly,Agree Slightly,Agree Slightly,Neutral,Agree Slightly,5,7,2,5,10,10,5,8,10,8,10,7,7,8,6,7,8,9,7,7,8,5,8,7,7,8,5,3,7,7
